date,test_year,true_regime,pred_regime,correct,brier
2024-06-01,2024,0,0,1,0.06206666666666668
2024-07-01,2024,0,0,1,0.07086666666666666
2024-08-01,2024,0,0,1,0.09626666666666668
2024-09-01,2024,0,0,1,0.09246666666666668
2024-10-01,2024,0,0,1,0.09360000000000002
2024-11-01,2024,0,0,1,0.08540000000000002
2024-12-01,2024,0,0,1,0.06846666666666666
2025-01-01,2025,0,0,1,0.025399999999999995
2025-02-01,2025,0,0,1,0.008266666666666667
2025-03-01,2025,0,0,1,0.003199999999999998
2025-04-01,2025,0,0,1,0.019466666666666674
2025-05-01,2025,0,0,1,0.0024666666666666643
2025-06-01,2025,0,0,1,0.017266666666666677
2025-07-01,2025,0,0,1,0.026466666666666663
2025-08-01,2025,0,0,1,0.028466666666666664
2025-09-01,2025,0,0,1,0.07446666666666667
2025-10-01,2025,0,0,1,0.028866666666666665
2025-11-01,2025,0,0,1,0.04246666666666668
2025-12-01,2025,0,0,1,0.1302
2026-01-01,2026,0,0,1,0.007466666666666667
2026-02-01,2026,0,0,1,0.10126666666666669
2026-03-01,2026,0,0,1,0.011400000000000002
2026-04-01,2026,0,0,1,0.02086666666666666
2026-05-01,2026,0,0,1,0.05846666666666669
