date,test_year,true_regime,pred_regime,correct,brier
2024-07-01,2024,0,0,1,0.08886666666666665
2024-08-01,2024,0,0,1,0.06406666666666667
2024-09-01,2024,0,0,1,0.0866
2024-10-01,2024,0,0,1,0.07279999999999999
2024-11-01,2024,0,0,1,0.08646666666666668
2024-12-01,2024,0,0,1,0.06846666666666666
2025-01-01,2025,0,0,1,0.0032666666666666642
2025-02-01,2025,0,0,1,0.006066666666666665
2025-03-01,2025,0,0,1,0.019466666666666674
2025-04-01,2025,0,0,1,0.009866666666666668
2025-05-01,2025,0,0,1,0.009866666666666668
2025-06-01,2025,0,0,1,0.008866666666666667
2025-07-01,2025,0,0,1,0.01166666666666667
2025-08-01,2025,0,0,1,0.048866666666666676
2025-09-01,2025,0,0,1,0.016200000000000006
2025-10-01,2025,0,0,1,0.010066666666666666
2025-11-01,2025,0,0,1,0.13686666666666666
2025-12-01,2025,0,0,1,0.17540000000000003
2026-01-01,2026,0,0,1,0.10486666666666666
2026-02-01,2026,0,0,1,0.1176
2026-03-01,2026,0,0,1,0.0362
2026-04-01,2026,0,0,1,0.11420000000000001
2026-05-01,2026,0,0,1,0.04560000000000001
