,Regime 0,Regime 1,Regime 2
Regime 0,0.9784861679523833,0.02151383204761664,3.443784971336112e-120
Regime 1,0.018868805244484428,0.9433935172654039,0.037737677490111754
Regime 2,0.01135860550317386,0.011358596601797518,0.9772827978950287
