,Production,Consumer,Labour,Housing,Liquidity_Credit,Inflation,Bond_Market,FX_Market,Commodity,Stock_Market,Sentiment,Uncertainty
Regime 0,0.5671121936351855,0.4953323225689498,0.5544826162278802,0.7015748826780673,0.4553245020839629,0.589021771211017,0.7719708270352051,0.5017634028665765,0.5569020527528376,0.5439248340309234,0.5001812419560062,0.5376856466393757
Regime 1,0.2868600364627889,0.2906420087156987,0.6560645585953723,0.5272176854403514,0.6536260361142211,0.43086156332345826,0.16446790598034433,0.5876625040132626,0.49541110222664553,0.27124031099137064,0.6964363618052267,0.6138338454699787
Regime 2,0.5687048302891078,0.6272023085375241,0.4049211879696179,0.35458642294183496,0.44240565166632695,0.47384862158087193,0.297255007373406,0.458254597555619,0.46938250728433073,0.6046267394082857,0.3547987812955504,0.4585022230275839
