t2,window_len,tc_date,m,omega,B,rss,horizon_days,damping,qualifies
1999-09-01,700,2000-05-27 20:04:13.311334912,0.1000000000491591,9.367153472745446,-2.8737544537864923,1.7950942676113435,269.83626517748735,0.7754934448168317,True
1999-09-11,700,2000-07-13 09:47:20.743438704,0.10000000004854209,10.39015146768226,-3.1285980307687824,1.6596001072404771,307.4078789749849,0.7392512407846973,True
1999-09-21,700,1999-09-22 00:00:00.000183832,0.8999999999568415,5.8294819152420025,-0.0021199251375762646,1.4795410944975722,1.0000000021277629,0.6927163666089292,True
1999-10-01,700,2000-09-14 23:59:59.997716400,0.4517285665026801,11.483345144391505,-0.07945471044808376,1.489423079036122,349.9999999735694,0.7065278108317762,True
1999-10-11,700,1999-10-14 19:54:42.899785816,0.8999999999714459,6.684530480090738,-0.002121707247156342,1.3030828023361258,3.829663191965551,0.6090796263269777,True
1999-10-21,700,1999-10-24 03:55:15.605949368,0.8999999999939243,7.0893740193781625,-0.002109199588241636,1.2766781794791093,3.163375068858386,0.5733751726497445,True
1999-10-31,700,1999-10-31 00:18:42.600013416,0.8999999999884607,7.3939142467233765,-0.0021042466444671985,1.2402938079857586,2.0129930557106945,0.549223642921298,True
1999-11-10,700,1999-11-11 00:00:00.000725664,0.8999999999918212,7.868786151030073,-0.002126993376701499,1.1483815122436423,1.0000000083989562,0.5169947713693298,True
1999-11-20,700,1999-11-20 00:00:00.000399760,0.8999999999982508,8.130795678062052,-0.002158355974801815,1.1496066561540916,1.000000004626827,0.5068507038703799,True
1999-11-30,700,1999-12-01 00:00:00.000196584,0.8999999999969828,8.379165577257066,-0.0021858335145253224,1.1870599261718573,1.0000000022753284,0.5041256248814007,True
1999-12-10,700,2000-03-12 14:35:15.388775288,0.8999999998650912,10.022771141732086,-0.00227491606769018,1.286880187868938,93.60781699971403,0.5285399587711362,True
1999-12-20,700,2000-03-26 02:16:54.884795576,0.8163466695842483,10.323714872870806,-0.004173428931017198,1.3864768010881852,97.09507968513401,0.5292695363464854,True
1999-12-30,700,2000-12-13 23:59:59.999616496,0.2352496931983965,11.97166524247225,-0.665739045298781,1.5216776305522908,349.9999999955612,0.7275476636753352,True
2000-01-09,700,2000-12-21 23:59:59.998905808,0.10000000014764293,11.882226138805963,-3.7765129701938216,1.5179075649397462,349.99999998733574,0.7269164008338878,True
2000-01-19,700,2001-01-02 23:59:59.997143952,0.10000000001982662,12.042264472569038,-3.8610528960474673,1.5239608704629966,349.99999996694396,0.7137430648484243,True
2000-01-29,700,2001-01-11 23:59:59.999888384,0.10000000009712479,12.133816908272298,-3.9365576729964062,1.5434442105395223,349.9999999987083,0.7080106285077992,True
2000-02-08,700,2001-01-22 23:59:59.993479872,0.10000000001237719,12.244705724896882,-4.027264998649101,1.5767941918901918,349.9999999245356,0.7062540286363463,True
2000-02-18,700,2001-02-01 23:59:59.998787584,0.10000000004258736,12.247132004678491,-4.1435627162651345,1.6754805642231676,349.9999999859674,0.7187943763028058,True
2000-02-28,700,2000-03-03 21:40:40.667982584,0.46616657428879965,9.510271044579497,-0.05636221242844883,1.725452614135083,4.903248472020778,0.5734061927930747,True
