t2,window_len,tc_date,m,omega,B,rss,horizon_days,damping,qualifies
2007-04-01,700,2007-08-27 15:50:23.300966496,0.10000000004322762,7.074408680628492,-0.6778412886763294,0.1381499062877558,150.6599919093344,0.8145552741689104,True
2007-04-11,700,2007-09-09 15:47:03.229636624,0.10000000000246406,7.275845563967724,-0.692730962794125,0.13853848815391906,151.6576762689424,0.8151245709852086,True
2007-04-21,700,2007-09-11 07:04:34.050677056,0.10000000000070225,7.296618997076159,-0.694049114274534,0.13794767264034258,144.29483854950297,0.8175755689976486,True
2007-05-01,700,2007-09-17 14:36:50.860175680,0.10000000000446119,7.431579250784556,-0.7054799146475839,0.13704939128724009,139.60892199277407,0.8077428053303285,True
2007-05-11,700,2007-09-28 19:16:19.973109696,0.10000000001776438,7.675948968329433,-0.7247010872661763,0.13582936565951204,140.80300894802883,0.7969628899832288,True
2007-05-21,700,2007-10-11 11:14:57.712935168,0.10000000000166631,7.965662492212947,-0.7454975290367412,0.1344170197385322,143.46872352934224,0.788436105752277,True
2007-05-31,700,2007-10-26 08:11:09.347052704,0.10000000002497506,8.352572194218968,-0.7666052902554623,0.1339662473258354,148.34108040570266,0.7799385283113884,True
2007-06-10,700,2007-10-27 19:39:51.761021584,0.10000000007464438,8.62154411573981,-0.7516328792144025,0.13789844031772197,141.819349085898,0.7690704328795617,True
2007-06-20,700,2007-09-19 21:48:52.132667152,0.24940690872190785,7.847231091349694,-0.11547800602440977,0.13333080741964237,91.90893672068466,0.7354756840352872,True
2007-06-30,700,2007-09-26 05:46:55.322558344,0.3111914166887992,8.043577304666291,-0.06583562326149495,0.12399676333525782,89.24091808516596,0.6937022186916986,True
2007-07-10,700,2007-10-04 00:18:36.096492600,0.372082360068856,8.246379569555042,-0.03963303039777669,0.11122659016350248,86.01291778347922,0.6646377905352372,True
2007-07-20,700,2007-10-09 11:38:51.713621736,0.44642792548076654,8.3867216105808,-0.02191392639135844,0.0993578922515291,81.48532075951073,0.6415382190751313,True
2007-07-30,700,2007-11-15 11:32:15.823150592,0.47539060277155765,9.229835883373307,-0.018189398679885622,0.1064127086152627,108.48073869387247,0.6266980182848302,True
2007-08-09,700,2008-01-01 22:07:06.338239488,0.5653682602048631,10.320083237591076,-0.009272231694204163,0.11789438264005148,145.9216011370312,0.5916895246079786,True
2007-08-19,700,2008-02-01 10:24:18.144053712,0.7233088488427584,11.014567713403885,-0.0028089635720603724,0.13086557956335518,168.43354333395507,0.5625761601416919,True
2007-08-29,700,2008-02-27 00:22:30.908097696,0.8999999999724158,11.611567282720868,-0.0007645568733807352,0.1347400597610931,182.01563551038998,0.5401083769854873,True
2007-09-08,700,2008-04-02 21:36:32.353723248,0.8999999998879115,12.630730896239871,-0.000761681917827613,0.13455226946667825,208.9003744643893,0.5115947819508515,True
2007-09-18,700,2008-05-03 13:02:56.449700800,0.8999999999973463,13.408098806959998,-0.0007523738674881014,0.1438615741467041,228.5437089085741,0.5019027185982738,True
2007-09-28,700,2008-05-10 18:51:39.241914864,0.8999999999362824,13.547334282294631,-0.0007466226659030682,0.14457435670208935,225.7858708554961,0.5042790404014752,True
