date,N_i,N_mkt,H,CapH,S
2026-03-23 00:00:00+00:00,0.0042,0.26899999999999996,0.015613382899628254,14.195012067841299,-0.08138
2026-03-24 00:00:00+00:00,0.0124,0.3486,0.035570854847963275,32.339481909605375,-0.07916
2026-03-25 00:00:00+00:00,0.0103,0.3512,0.029328018223234623,26.66376500730006,-0.016800000000000002
2026-03-26 00:00:00+00:00,0.0041,0.3727,0.011000804936946608,10.00145579211045,-0.11968000000000001
2026-03-27 00:00:00+00:00,0.0052,0.437,0.011899313501144164,10.818340895988017,-0.01174
2026-03-28 00:00:00+00:00,0.0018,0.2949,0.006103763987792472,5.5492780791299365,-0.25742
2026-03-29 00:00:00+00:00,0.0065,0.2554,0.025450274079874702,23.138287840381572,0.18483
2026-03-30 00:00:00+00:00,0.0017,0.28189999999999993,0.0060305072720822995,5.48267624336883,-0.01225
2026-03-31 00:00:00+00:00,0.0013,0.4236,0.003068932955618508,2.790141036087561,-0.03967
2026-04-01 00:00:00+00:00,0.0027,0.5133000000000001,0.0052600818234950315,4.782238765445406,0.06645
2026-04-02 00:00:00+00:00,0.0026,0.35750000000000004,0.007272727272727272,6.612048911254214,-0.057289999999999994
2026-04-03 00:00:00+00:00,0.0022,0.34299999999999997,0.006413994169096211,5.8313259348524795,0.07321
2026-04-04 00:00:00+00:00,0.0018,0.31110000000000004,0.005785920925747347,5.2603089216824745,0.09622
2026-04-05 00:00:00+00:00,0.0,0.2063,0.0,0.0,0.0
2026-04-06 00:00:00+00:00,0.0057,0.29569999999999996,0.019276293540750764,17.52517191138144,0.31077
2026-04-07 00:00:00+00:00,0.0039,0.3653,0.010676156583629892,9.706299558335813,0.17721
2026-04-08 00:00:00+00:00,0.0041,0.4628,0.008859118409680209,8.054327082367253,-0.34409999999999996
2026-04-09 00:00:00+00:00,0.0013,0.3092,0.0042043984476067275,3.822457124471834,-0.11237
2026-04-10 00:00:00+00:00,0.0028,0.3442,0.008134805345729227,7.395812989055411,-0.07778
2026-04-11 00:00:00+00:00,0.0034,0.27730000000000005,0.012261089073205911,11.147251590376289,-0.35569
2026-04-12 00:00:00+00:00,0.0104,0.24380000000000002,0.04265791632485644,38.78273151391931,-0.09004999999999999
2026-04-13 00:00:00+00:00,0.0018,0.28290000000000004,0.006362672322375397,5.784666332751566,0.19841999999999999
2026-04-14 00:00:00+00:00,0.0028,0.40180000000000005,0.0069686411149825775,6.335586935870763,0.0988
